Sigla,Estado,Latitude,Longitude
AC,Acre,-8.77,-70.55
AL,Alagoas,-9.62,-36.82
AM,Amazonas,-3.47,-65.1
AP,Amapá,1.41,-51.77
BA,Bahia,-13.29,-41.71
CE,Ceará,-5.2,-39.53
DF,Distrito Federal,-15.83,-47.86
ES,Espírito Santo,-19.19,-40.34
GO,Goiás,-15.98,-49.86
MA,Maranhão,-5.42,-45.44
MT,Mato Grosso,-12.64,-55.42
MS,Mato Grosso do Sul,-20.51,-54.54
MG,Minas Gerais,-18.1,-44.38
PA,Pará,-3.79,-52.48
PB,Paraíba,-7.28,-36.72
PR,Paraná,-24.89,-51.55
PE,Pernambuco,-8.38,-37.86
PI,Piauí,-6.6,-42.28
RJ,Rio de Janeiro,-22.25,-42.66
RN,Rio Grande do Norte,-5.81,-36.59
RS,Rio Grande do Sul,-30.17,-53.5
RO,Rondônia,-10.83,-63.34
RR,Roraima,1.99,-61.33
SC,Santa Catarina,-27.45,-50.95
SE,Sergipe,-10.57,-37.45
SP,São Paulo,-22.19,-48.79
TO,Tocantins,-9.46,-48.26
